City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.1,broken clouds,3.0707,172.7902,Isles Sunset Lodge
3,Rikitea,PF,77.88,overcast clouds,-23.1203,-134.9692,People ThankYou
6,Alice Springs,AU,80.15,thunderstorm,-23.7,133.8833,Desert Palms Alice Springs
9,Kavaratti,IN,79.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
13,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
15,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
16,Hithadhoo,MV,82.74,scattered clouds,-0.6,73.0833,Scoop Guest House
27,Arlit,NE,78.76,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
30,Acarau,BR,85.3,scattered clouds,-2.8856,-40.12,castelo pizzaria
33,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Sao Felix Do Xingu,BR,88.86,clear sky,-6.6447,-51.995,Rio Xingu Camping
37,Atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
39,San Juan,AR,84.49,scattered clouds,-31.5375,-68.5364,Hotel Provincial
40,Waingapu,ID,78.51,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
42,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
44,Richards Bay,ZA,77.83,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
45,Quthing,LS,78.98,clear sky,-30.4,27.7003,Mountainside Hotel
47,Castro,BR,80.06,clear sky,-24.7911,-50.0119,CHACARA BAILLY
53,Giyani,ZA,78.48,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
54,Bengkulu,ID,76.62,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
59,Saint-Joseph,RE,86.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
62,Kruisfontein,ZA,86.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
63,East London,ZA,79.74,few clouds,-33.0153,27.9116,Tu Casa
68,Port Elizabeth,ZA,89.1,clear sky,-33.918,25.5701,39 On Nile Guest House
71,Ugoofaaru,MV,81.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
72,Cap Malheureux,MU,84.69,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
