City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,81.1,74,72,15.79,broken clouds
1,Lagoa,PT,39.05,-27.9833,58.21,67,94,11.41,overcast clouds
2,Oranjemund,NA,-28.55,16.4333,78.04,60,71,8.97,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,77.88,72,100,11.05,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,54.48,88,32,5.01,scattered clouds
5,Port Lincoln,AU,-34.7333,135.8667,67.66,97,33,7.7,scattered clouds
6,Alice Springs,AU,-23.7,133.8833,80.15,74,75,5.75,thunderstorm
7,Fortuna,US,40.5982,-124.1573,46.74,93,0,8.05,clear sky
8,Ibra,OM,22.6906,58.5334,64.62,39,0,9.26,clear sky
9,Kavaratti,IN,10.5669,72.642,79.84,68,87,9.17,overcast clouds
10,Merauke,ID,-8.4667,140.3333,77.05,93,99,8.03,overcast clouds
11,Flinders,AU,-34.5833,150.8552,68.2,84,11,5.1,few clouds
12,Upernavik,GL,72.7868,-56.1549,-8.07,70,94,4.36,overcast clouds
13,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,70,2,8.21,clear sky
14,Lavrentiya,RU,65.5833,-171.0,6.94,95,100,13.67,snow
15,Georgetown,MY,5.4112,100.3354,83.89,75,20,3.0,few clouds
16,Hithadhoo,MV,-0.6,73.0833,82.74,70,37,13.98,scattered clouds
17,Jamestown,US,42.097,-79.2353,14.52,61,0,1.01,clear sky
18,Bethel,US,41.3712,-73.414,21.47,66,3,4.36,clear sky
19,Colac,AU,-38.3333,143.5833,71.62,63,0,5.44,clear sky
20,New Norfolk,AU,-42.7826,147.0587,62.74,67,98,1.81,overcast clouds
21,Aksay,RU,47.26,39.87,29.25,91,100,8.01,overcast clouds
22,Alquizar,CU,22.8058,-82.5842,70.29,72,100,5.23,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,12.36,51,16,12.19,few clouds
24,Saskylakh,RU,71.9167,114.0833,10.17,94,97,9.6,overcast clouds
25,Bluff,NZ,-46.6,168.3333,54.81,73,32,17.2,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,51.46,76,75,14.97,broken clouds
27,Arlit,NE,18.7369,7.3853,78.76,9,6,4.05,clear sky
28,Tokur,RU,53.1333,132.9,-25.31,100,74,2.3,broken clouds
29,Busselton,AU,-33.65,115.3333,73.04,57,2,10.67,clear sky
30,Acarau,BR,-2.8856,-40.12,85.3,64,43,13.18,scattered clouds
31,Jamsa,FI,61.8642,25.19,20.71,97,100,2.35,overcast clouds
32,Nanortalik,GL,60.1432,-45.2371,14.97,88,25,12.03,scattered clouds
33,Puerto Ayora,EC,-0.7393,-90.3518,75.16,80,97,5.12,overcast clouds
34,Auchi,NG,7.0667,6.2667,96.49,13,7,3.8,clear sky
35,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.86,54,7,3.18,clear sky
36,Hobart,AU,-42.8794,147.3294,63.1,84,87,6.91,overcast clouds
37,Atuona,PF,-9.8,-139.0333,77.88,80,75,18.48,broken clouds
38,Hermanus,ZA,-34.4187,19.2345,97.81,48,4,16.93,clear sky
39,San Juan,AR,-31.5375,-68.5364,84.49,49,44,9.44,scattered clouds
40,Waingapu,ID,-9.6567,120.2641,78.51,83,67,8.59,broken clouds
41,Zaysan,KZ,47.4667,84.8667,-0.6,84,57,3.78,broken clouds
42,Geraldton,AU,-28.7667,114.6,81.01,54,0,14.97,clear sky
43,Stawell,AU,-37.05,142.7667,70.54,38,97,6.29,overcast clouds
44,Richards Bay,ZA,-28.783,32.0377,77.83,63,55,9.91,light rain
45,Quthing,LS,-30.4,27.7003,78.98,23,2,15.14,clear sky
46,Chokurdakh,RU,70.6333,147.9167,-19.48,97,99,6.71,overcast clouds
47,Castro,BR,-24.7911,-50.0119,80.06,63,3,2.17,clear sky
48,Sistranda,NO,63.7256,8.834,46.36,83,100,41.16,overcast clouds
49,Hurghada,EG,27.2574,33.8129,68.04,37,0,13.8,clear sky
50,Leshukonskoye,RU,64.8989,45.7622,-0.24,98,53,4.29,broken clouds
51,Clyde River,CA,70.4692,-68.5914,-16.37,76,75,4.61,broken clouds
